CD_EQUI,CD_LOCAL,CD_TEMA,DS_TEMA,CD_TP_EQUIPAMENTO,DS_TP_EQUIPAMENTO,CD_SUBTIPO_EQUIPAMENTO,DS_SUBTIPO_EQUIPAMENTO,CD_DEP_ADMINISTRATIVA,DS_DEP_ADMINISTRATIVA,NM_EQUI,NM_ABREV_EQUI,CD_FONTE,FONTE_FONTE,CD_RUA,NM_RUA,CD_RUANAOOFICIAL,NM_RUANAOOFICIAL,NUMERO_EQUI,COMPLEMENTO_EQUI,CD_BAIRRO,NM_BAIRRO,QUADRICULA_BQ,CD_REGIONAL,NM_REGIONAL,LAT_SIRGAS,LON_SIRGAS,FUNCIONAMENTO_MANHA_EQUI,FUNCIONAMENTO_TARDE_EQUI,FUNCIONAMENTO_NOITE_EQUI,FUNCIONAMENTO_24HRS_EQUI,TELEFONE_EQUI,RAMAL_EQUI,EMAIL_EQUI,SITE_EQUI,FAX_EQUI
4.364,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,3,Publico Municipal,CONSERVATORIO DE MUSICA POPULAR BRASILEIRA,Conservatorio de MPB,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N008,R. MATEUS LEME,,,90,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.365,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,3,Publico Municipal,SOLAR DOS GUIMAR?ES,Solar dos Guimar?es,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,571,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.366,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. S?O FRANCISCO, 278",384,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C018K,R. S?O FRANCISCO,,,278,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.367,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,RESTAURANTE SACCY,Restaurante Saccy,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C018K,R. S?O FRANCISCO,,,350,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.368,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,3,Publico Municipal,ANTIGA CASA DO ARTESANATO,Antiga Casa do Artesanato,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N008,R. MATEUS LEME,,,24,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.369,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,2,Publico Estadual,CASA JO?O TURIN,Casa Jo?o Turin,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N008,R. MATEUS LEME,,,38,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.371,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,TEATRO LALA SCHNEIDER,475,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,621,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.372,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,IGREJA DA ORDEM TERCEIRA DE S?O FRANCISCO DAS CHAGAS,Igreja da Ordem,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C018M,R. DR. CLAUDINO DOS SANTOS,,,16,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.373,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. DR. CLAUDINO DOS SANTOS, 90",375,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C018M,R. DR. CLAUDINO DOS SANTOS,,,90,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.374,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. DR. CLAUDINO DOS SANTOS, 112",376,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C018M,R. DR. CLAUDINO DOS SANTOS,,,112,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.375,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,SOLAR DO ROSARIO,Solar do Rosario,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N010,R. DQ. DE CAXIAS,,,14,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.376,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. TREZE DE MAIO, 601",163,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,601,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.377,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,TEATRO JOSE MARIA SANTOS,Teatro Jose Maria Santos,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,655,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.378,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,3,Publico Municipal,CASA HOFFMANN,Casa Hoffmann,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C018M,R. DR. CLAUDINO DOS SANTOS,,,58,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.379,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. DQ. DE CAXIAS, 83",172,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N010,R. DQ. DE CAXIAS,,,83,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.380,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,IGREJA DE NOSSA SENHORA DO ROSARIO DOS PRETOS DE S?O BENEDITO,Igreja do Rosario,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N012,R. TRAJANO REIS,,,174,Praca Garibaldi.,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.381,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. TRAJANO REIS, 77",303,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N012,R. TRAJANO REIS,,,77,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.382,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. TRAJANO REIS, 47",302,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N012,R. TRAJANO REIS,,,47,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.383,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. TRAJANO REIS, 37",301,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N012,R. TRAJANO REIS,,,37,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.384,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"AV. JAIME REIS, 46",290,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C018N,AV. JAIME REIS,,,46,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.385,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"AV. JAIME REIS, 54",291,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C018N,AV. JAIME REIS,,,54,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.386,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"AV. JAIME REIS, 134",292,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C018N,AV. JAIME REIS,,,134,Transversal a Rua Almirante Barroso.,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.387,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"AV. JAIME REIS, 152",293,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C018N,AV. JAIME REIS,,,367,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
3.566,,11,EDUCAC?O,23,Unidade de Educac?o Integral,3,Vinculado a Escola,3,Publico Municipal,MARIA DE LOURDES LAMAS PEGORARO I,Maria de Lourdes Lamas Pegoraro I,120,Secretaria Municipal da Educac?o,S980,R. ANTONIO MOREIRA LOPES,,,328,,21,Cajuru,P20,3,Cajuru,-25,-49,1,1,0,0,3361-2510,,,,
3.575,,11,EDUCAC?O,23,Unidade de Educac?o Integral,3,Vinculado a Escola,3,Publico Municipal,PRO-MORAR BARIGUI,Pro-Morar Barigui,120,Secretaria Municipal da Educac?o,W632,R. ARTHUR MARTINS FRANCO,,,5535,,75,Cidade Industrial de Curitiba,Q6,11,CIC,-25,-49,1,1,0,0,3347-6983,,,,
3.568,,11,EDUCAC?O,23,Unidade de Educac?o Integral,3,Vinculado a Escola,3,Publico Municipal,PREFEITO OMAR SABBAG,Pref. Omar Sabbag,120,Secretaria Municipal da Educac?o,S911F,R. ENGA. ENEDINA ALVES MARQUES,,,167,,21,Cajuru,M18,3,Cajuru,,,1,1,0,0,3366-3773,,,,
5.327,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"AV. JO?O GUALBERTO, 1654",593,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C100,AV. JO?O GUALBERTO,,,1654,,15,Juveve,H14,1,Matriz,-25,-49,0,0,0,0,,,,,
5.328,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. MATEUS LEME, 1366",573,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N008,R. MATEUS LEME,,,1366,,3,Centro Civico,I12,1,Matriz,-25,-49,0,0,0,0,,,,,
5.331,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. CELESTE SANTI, 58",589,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N049B,R. CELESTE SANTI,,,58,,14,Ahu,G13,1,Matriz,-25,-49,0,0,0,0,,,,,
5.333,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,2,Publico Estadual,CORPO DE BOMBEIRO,Corpo de Bombeiro,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,E004H,AV. MUNHOZ DA ROCHA,,,1431,,16,Cabral,G15,1,Matriz,-25,-49,0,0,0,0,,,,,
5.335,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"AV. PREF. ERASTO GAERTNER, 659",554,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,E116,AV. PREF. ERASTO GAERTNER,,,659,,35,Bacacheri,G16,4,Boa Vista,-25,-49,0,0,0,0,,,,,
5.336,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"AV. PREF. ERASTO GAERTNER, 1381",592,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,E116,AV. PREF. ERASTO GAERTNER,,,1381,,35,Bacacheri,G16,4,Boa Vista,-25,-49,0,0,0,0,,,,,
5.337,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"AV. MANOEL RIBAS, 6052",588,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N616,AV. MANOEL RIBAS,,,6052,Transversal a Rua Christina DreschVialle.,63,Santa Felicidade,G7,5,Santa Felicidade,-25,-49,0,0,0,0,,,,,
5.339,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. JOSE RISSETO, 840",551,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N728A,R. JOSE RISSETO,,,840,,63,Santa Felicidade,H6,5,Santa Felicidade,-25,-49,0,0,0,0,,,,,
5.340,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,ANTIGO MATADOURO MUNICIPAL,Antigo Matadouro Municipal,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,S713,AV. SEN. SALGADO FILHO,,,1050,,23,Guabirotuba,N15,3,Cajuru,-25,-49,0,0,0,0,,,,,
6.412,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,JARDIM MERCES - 7?,7?,138,Secretaria Geral de Administrac?o e Financas - quadrangular,N418D,R. ANTONIO COSTA,,,22,,31,Vista Alegre,H10,5,Santa Felicidade,-25,-49,0,0,0,0,3206-6275,,,www.pastorcarlinhos.com/setimaieq.html,
6.413,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,JARDIM SANTA AMELIA,Jd. Sta. Amelia,138,Secretaria Geral de Administrac?o e Financas - quadrangular,W618,R. MAXIMILIANO BOSCARDIN,,,339,,42,Fazendinha,P7,7,Port?o,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.414,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,JARDIM S?O FERNANDO II,Jd. S. Fernando II,138,Secretaria Geral de Administrac?o e Financas - quadrangular,W744D,R. CAMPO BELO,,,142,,44,Campo Comprido,O6,5,Santa Felicidade,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.415,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,JUVEVE - 1?,1?,138,Secretaria Geral de Administrac?o e Financas - quadrangular,N050,R. ALBERTO FOLLONI,,,124,,15,Juveve,I13,1,Matriz,-25,-49,0,0,0,0,3252-7215,,,www.primeiraieq.com.br,
6.416,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,CIC - DIADEMA I,CIC-Diadema I,138,Secretaria Geral de Administrac?o e Financas - quadrangular,W651T,R. ALEXANDRE SFERELLI,,,265,,75,Cidade Industrial de Curitiba,,11,CIC,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.417,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,NOVO MUNDO II,Novo Mundo II,138,Secretaria Geral de Administrac?o e Financas - quadrangular,S143,R. ALCIDIO CUBAS,,,254,,41,Novo Mundo,P10,8,Pinheirinho,-25,-49,0,0,0,0,3246-0859,,,www.sgaf.org.br,
6.418,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,ABRANCHES,Abranches,138,Secretaria Geral de Administrac?o e Financas - quadrangular,N360,R. HASSAN MOHAMED RAAD,,,735,,50,Abranches,C13,4,Boa Vista,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.419,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,BAIRRO ALTO - 32?,32?,138,Secretaria Geral de Administrac?o e Financas - quadrangular,E366,R. VISC. DE ABAETE,,,443,,36,Bairro Alto,J19,4,Boa Vista,-25,-49,0,0,0,0,3238-2228,,,www.sgaf.org.br,
6.420,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,BAIRRO ALTO - TEMPLO DA FAMILIA,Templo da Familia,138,Secretaria Geral de Administrac?o e Financas - quadrangular,E346H,R. PERCY FELICIANO DE CASTILHO,,,578,,36,Bairro Alto,I18,4,Boa Vista,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.421,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,ALTO BOQUEIR?O - 52?,52?,138,Secretaria Geral de Administrac?o e Financas - quadrangular,S527,R. FRANCISCO DEROSSO,,,6441,,64,Alto Boqueir?o,V16,2,Boqueir?o,-26,-49,0,0,0,0,3378-2029,,,52ieq.blogspot.com,
6.422,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,JARDIM SIENA,Jd. Siena,138,Secretaria Geral de Administrac?o e Financas - quadrangular,S676B,R. PAULA FREITAS,,,594,,64,Alto Boqueir?o,W15,2,Boqueir?o,-26,-49,0,0,0,0,,,,www.sgaf.org.br,
6.423,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,BACACHERI - OBRA NOVA,Obra Nova,138,Secretaria Geral de Administrac?o e Financas - quadrangular,E119H,R. AVIADOR LUIZ BERGMANN,,,55,,35,Bacacheri,F16,4,Boa Vista,-25,-49,0,0,0,0,3257-2164,,,www.sgaf.org.br,
6.424,,29,JUSTICA,161,Tribunal de Justica,1,Tribunal,2,Publico Estadual,PLENO,Pleno,200,,N002C,R. PREF. ROSALDO GOMES MELLO LEIT?O,,,S/N,,3,Centro Civico,I13,1,Matriz,-25,-49,0,0,0,0,,,,,
6.425,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,BARREIRINHA,Barreirinha,138,Secretaria Geral de Administrac?o e Financas - quadrangular,N237,R. AD?O CASEMIRO TROCZINSKI,,,141,,52,Barreirinha,C15,4,Boa Vista,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.426,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,BATEL,Batel,138,Secretaria Geral de Administrac?o e Financas - quadrangular,W013,R. BRUNO FILGUEIRA,,,1600,Entre a Alameda Augusto Stelfeld e Travessa Silvio Van Erven.,11,Bigorrilho,,1,Matriz,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.411,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,JARDIM ITALIA,Jd. Italia,138,Secretaria Geral de Administrac?o e Financas - quadrangular,N522,R. JOSE VALLE,,,1677,,63,Santa Felicidade,,5,Santa Felicidade,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.427,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,BIGORRILHO,Bigorrilho,138,Secretaria Geral de Administrac?o e Financas - quadrangular,C020,AL. PRINC. IZABEL,,,1331,,11,Bigorrilho,J11,1,Matriz,-25,-49,0,0,0,0,3029-3907,,,www.sgaf.org.br,
6.428,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,BOQUEIR?O - 29?,29?,138,Secretaria Geral de Administrac?o e Financas - quadrangular,S633,R. CARLOS DE LAET,,,6071,,56,Boqueir?o,T17,2,Boqueir?o,-26,-49,0,0,0,0,3286-2544,,,www.29ieq.com.br,
6.429,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,BOQUEIR?O,Boqueir?o,138,Secretaria Geral de Administrac?o e Financas - quadrangular,S635,R. BARTOLOMEU LOURENCO DE GUSM?O,,,3097,,56,Boqueir?o,T17,2,Boqueir?o,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.430,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,SANTA FELICIDADE,Sta Felicidade,138,Secretaria Geral de Administrac?o e Financas - quadrangular,N659E,R. JULIO RAYMUNDO,,,99,,61,Butiatuvinha,F5,5,Santa Felicidade,-25,-49,0,0,0,0,3082-8317,,,www.ieqsantafelicidade.com.br/crbst_8.html,
6.431,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,CABRAL,Cabral,138,Secretaria Geral de Administrac?o e Financas - quadrangular,C102,AV. PARANA,,,376,,16,Cabral,H14,1,Matriz,-25,-49,0,0,0,0,3252-2550,,,www.sgaf.org.br,
6.432,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,CAIUA,Caiua,138,Secretaria Geral de Administrac?o e Financas - quadrangular,W779,R. LODOVICO KAMINSKI,,,3140,,75,Cidade Industrial de Curitiba,,11,CIC,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.433,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,CAJURU,Cajuru,138,Secretaria Geral de Administrac?o e Financas - quadrangular,S935G,R. GENEROSO DO NASCIMENTO TEIXEIRA FILHO,,,214,,21,Cajuru,M20,3,Cajuru,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.434,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,CAJURU,Cajuru,138,Secretaria Geral de Administrac?o e Financas - quadrangular,S979,R. TUNISIA,,,293,,21,Cajuru,N19,3,Cajuru,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.435,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,CAJURU,Cajuru,138,Secretaria Geral de Administrac?o e Financas - quadrangular,S906,R. IRM?O LUIZ VICENTE,,,173,,21,Cajuru,L17,3,Cajuru,-25,-49,0,0,0,0,,,,www.sgaf.org.br,
6.436,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,CAJURU - 73?,73?,138,Secretaria Geral de Administrac?o e Financas - quadrangular,S961H,R. PROFA. SONIA MARIA COIMBRA KENSKI,,,132,,21,Cajuru,O20,3,Cajuru,-25,-49,0,0,0,0,3261-2770,,,www.sgaf.org.br,
6.437,,18,RELIGI?O,28,Igreja,6,Evangelica Quadrangular,11,Particular,CAJURU - JARDIM ACROPOLES,Cajuru-Jd. Acropoles,138,Secretaria Geral de Administrac?o e Financas - quadrangular,S963M,R. PE. ESTANISLAU CEBULA,,,367,,21,Cajuru,O20,3,Cajuru,-25,-49,0,0,0,0,3226-0660,,,www.sgaf.org.br,
