FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count,type,responsable,uf_code,stages
aeroporto.fid--370298aa_15b3a2610e3_-7716,48012,Aeroporto São Luís - Reforma do Terminal de Passageiros,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.23639480944128 -2.583774625406683)),0,1,1,8,2
aeroporto.fid--370298aa_15b3a2610e3_-7715,48019,Aeroporto de Santarém - REFORMA COM AMPLIAÇÃO DA ESTRUTURA FÍSICA DO ATUAL TERMINAL DE PASSAGEIROS E DO ESTACIONAMENTO,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,PA,SANTARÉM,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-54.708 -2.443)),0,1,1,9,3
aeroporto.fid--370298aa_15b3a2610e3_-7714,48019,Aeroporto de Santarém - REFORMA COM AMPLIAÇÃO DA ESTRUTURA FÍSICA DO ATUAL TERMINAL DE PASSAGEIROS E DO ESTACIONAMENTO,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,PA,SANTARÉM,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-54.708 -2.443)),0,1,1,9,3
aeroporto.fid--370298aa_15b3a2610e3_-7713,48022,Aeroporto de Marabá - REFORMA COM AMPLIAÇÃO DO TPS EXISTENTE,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,PA,MARABÁ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.118 -5.369)),0,1,1,9,2
aeroporto.fid--370298aa_15b3a2610e3_-7712,48022,Aeroporto de Marabá - REFORMA COM AMPLIAÇÃO DO TPS EXISTENTE,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,PA,MARABÁ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.118 -5.369)),0,1,1,9,2
aeroporto.fid--370298aa_15b3a2610e3_-7711,48024,Aeroporto de Tabatinga - REFORMA E AMPLIAÇÃO DO TPS,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,AM,TABATINGA,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-69.938 -4.253)),0,1,1,10,3
aeroporto.fid--370298aa_15b3a2610e3_-7710,48024,Aeroporto de Tabatinga - REFORMA E AMPLIAÇÃO DO TPS,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,AM,TABATINGA,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-69.938 -4.253)),0,1,1,10,3
aeroporto.fid--370298aa_15b3a2610e3_-770f,48025,Aeroporto de Tefé - REFORMA E AMPLIAÇÃO DO TPS,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,AM,TEFÉ,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-64.711 -3.354)),0,1,1,10,3
aeroporto.fid--370298aa_15b3a2610e3_-770e,48025,Aeroporto de Tefé - REFORMA E AMPLIAÇÃO DO TPS,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,AM,TEFÉ,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-64.711 -3.354)),0,1,1,10,3
aeroporto.fid--370298aa_15b3a2610e3_-770d,48026,Aeroporto de Ilhéus - PROJETO DE INFRAESTRUTURA E IMPLANTAÇÃO DO MOP,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,BA,ILHÉUS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-39.049 -14.789)),0,1,1,11,2
aeroporto.fid--370298aa_15b3a2610e3_-770c,48026,Aeroporto de Ilhéus - PROJETO DE INFRAESTRUTURA E IMPLANTAÇÃO DO MOP,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,BA,ILHÉUS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-39.049 -14.789)),0,1,1,11,2
aeroporto.fid--370298aa_15b3a2610e3_-770b,48033,Aeroporto de São José dos Campos - PROJETOS BÁSICOS E EXECUTIVOS PARA RESTAURAÇÃO DO PAVIMENTO FLEXÍVEL DAS TAXISWAYS E EXECUÇÃO DAS OBRAS,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,SP,SÃO JOSÉ DOS CAMPOS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-45.887 -23.179)),0,1,1,12,1
aeroporto.fid--370298aa_15b3a2610e3_-770a,48033,Aeroporto de São José dos Campos - PROJETOS BÁSICOS E EXECUTIVOS PARA RESTAURAÇÃO DO PAVIMENTO FLEXÍVEL DAS TAXISWAYS E EXECUÇÃO DAS OBRAS,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,SP,SÃO JOSÉ DOS CAMPOS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-45.887 -23.179)),0,1,1,12,1
aeroporto.fid--370298aa_15b3a2610e3_-7709,48036,Aeroporto de Londrina - IMPLANTAÇÃO DO MÓDULO OPERACIONAL - MOP NO PROCESSAMENTO DE EMBARQUE,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,PR,LONDRINA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-51.163 -23.31)),0,1,1,13,2
aeroporto.fid--370298aa_15b3a2610e3_-7708,48036,Aeroporto de Londrina - IMPLANTAÇÃO DO MÓDULO OPERACIONAL - MOP NO PROCESSAMENTO DE EMBARQUE,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,PR,LONDRINA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-51.163 -23.31)),0,1,1,13,2
aeroporto.fid--370298aa_15b3a2610e3_-7707,48038,Aeroporto de Macaé - OBRA DO NOVO TERMINAL DE PASSAGEIROS- EDIFÍCIO ADMINISTRATIVO-OPERACIONAL - SUBESTAÇÃO PRINCIPAL- SISTEMA VIÁRIO- ESTACIONAMENTO,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RJ,MACAÉ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-41.787 -22.371)),0,1,1,7,2
aeroporto.fid--370298aa_15b3a2610e3_-7706,48038,Aeroporto de Macaé - OBRA DO NOVO TERMINAL DE PASSAGEIROS- EDIFÍCIO ADMINISTRATIVO-OPERACIONAL - SUBESTAÇÃO PRINCIPAL- SISTEMA VIÁRIO- ESTACIONAMENTO,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RJ,MACAÉ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-41.787 -22.371)),0,1,1,7,2
aeroporto.fid--370298aa_15b3a2610e3_-7705,48040,Aeroporto Fernando de Noronha - Reforma pista e pátio- obras complementares,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,PE,FERNANDO DE NORONHA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-32.411 -3.84)),0,1,1,14,2
aeroporto.fid--370298aa_15b3a2610e3_-7704,48040,Aeroporto Fernando de Noronha - Reforma pista e pátio- obras complementares,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,PE,FERNANDO DE NORONHA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-32.411 -3.84)),0,1,1,14,2
aeroporto.fid--370298aa_15b3a2610e3_-7703,48042,Aeroporto Linhares - Construção de pista- táxi- pátio e obras complementares,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,ES,LINHARES,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-40.072 -19.391)),0,1,1,3,1
aeroporto.fid--370298aa_15b3a2610e3_-7702,48042,Aeroporto Linhares - Construção de pista- táxi- pátio e obras complementares,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,ES,LINHARES,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-40.072 -19.391)),0,1,1,3,1
aeroporto.fid--370298aa_15b3a2610e3_-7701,48049,Aeroporto Cascavel - Construção do Terminal de Passageiros,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,PR,CASCAVEL,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-53.455 -24.956)),0,1,1,13,2
aeroporto.fid--370298aa_15b3a2610e3_-7700,48049,Aeroporto Cascavel - Construção do Terminal de Passageiros,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,PR,CASCAVEL,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-53.455 -24.956)),0,1,1,13,2
aeroporto.fid--370298aa_15b3a2610e3_-76ff,48053,Aeroporto Santo Ângelo - Reforma da pista- táxi- pátio e obras complementares,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,RS,SANTO ÂNGELO,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-54.263 -28.299)),0,1,1,1,3
aeroporto.fid--370298aa_15b3a2610e3_-76fe,48053,Aeroporto Santo Ângelo - Reforma da pista- táxi- pátio e obras complementares,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,RS,SANTO ÂNGELO,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-54.263 -28.299)),0,1,1,1,3
aeroporto.fid--370298aa_15b3a2610e3_-76fd,48055,Aeroporto Correia Pinto - Implantação de sinalizações,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,SC,LAGES- CORREIA PINTO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-50.326 -27.816)),0,1,1,6,2
aeroporto.fid--370298aa_15b3a2610e3_-76fc,48055,Aeroporto Correia Pinto - Implantação de sinalizações,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,SC,LAGES- CORREIA PINTO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-50.326 -27.816)),0,1,1,6,2
aeroporto.fid--370298aa_15b3a2610e3_-76fb,48057,Aeroporto Vitória da Conquista - Construção de novo aeroporto,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,BA,VITÓRIA DA CONQUISTA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.839 -14.866)),0,1,1,11,2
aeroporto.fid--370298aa_15b3a2610e3_-76fa,48057,Aeroporto Vitória da Conquista - Construção de novo aeroporto,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Estado,BA,VITÓRIA DA CONQUISTA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.839 -14.866)),0,1,1,11,2
aeroporto.fid--370298aa_15b3a2610e3_-76f9,65628,Aeroporto de Rio Branco - Reforma e Ampliação do Terminal do TPS do SBRB,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,AC,RIO BRANCO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-67.81 -9.975)),0,1,1,15,2
aeroporto.fid--370298aa_15b3a2610e3_-76f8,77296,Aeroporto de Recife - Obra de reforma e recuperação da pista no trecho central de 1500 m,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,PE,RECIFE,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-34.881 -8.054)),0,1,1,14,3
aeroporto.fid--370298aa_15b3a2610e3_-76f7,77298,Aeroporto Santos Dumont - Obra de recuperação do pátio,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RJ,RIO DE JANEIRO,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-43.208 -22.903)),0,1,1,7,3
aeroporto.fid--370298aa_15b3a2610e3_-76f6,77300,Aeroporto de Aracajú - Ampliação e reforma da PPD,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,SE,ARACAJU,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-37.072 -10.911)),0,1,1,16,2
aeroporto.fid--370298aa_15b3a2610e3_-76f5,78197,Aeroporto de Rio Branco - Restauração de Pistas e Pátios,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,AC,RIO BRANCO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-67.81 -9.975)),0,1,1,15,2
aeroporto.fid--370298aa_15b3a2610e3_-76f4,8098,Aeroporto Confins - Reforma- Modernização e Ampliação do Terminal de Passageiros- e Adequação do Sistema Viário,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,MG,CONFINS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.96320687713704 -19.63260769448438)),0,1,1,17,2
aeroporto.fid--370298aa_15b3a2610e3_-76f3,8099,Aeroporto Confins - Reforma e Ampliação da Pista de Pouso e Sistema de Pátios,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,MG,CONFINS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.96455198826912 -19.63616959266207)),0,1,1,17,2
aeroporto.fid--370298aa_15b3a2610e3_-76f2,8102,Aeroporto Curitiba - Ampliação do Terminal de Passageiros e Sistema Viário,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,PR,CURITIBA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.17313675604898 -25.53549230478349)),0,1,1,13,2
aeroporto.fid--370298aa_15b3a2610e3_-76f1,8104,Aeroporto Fortaleza - Reforma e Ampliação do Terminal de Passageiros- Pátio de Aeronaves e Adequação do Sistema Viário,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,CE,FORTALEZA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.531086552842396 -3.775160042152447)),0,1,1,18,2
aeroporto.fid--370298aa_15b3a2610e3_-76f0,8105,Aeroporto Manaus - Reforma- Modernização e Ampliação do Terminal de Passageiros e Adequação do Sistema Viário,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,AM,MANAUS,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-60.04627089000128 -3.031542035414106)),0,1,1,10,3
aeroporto.fid--370298aa_15b3a2610e3_-76ef,8106,Aeroporto Porto Alegre - Reforma e Ampliação do Terminal de Passageiros 1 (1ª Fase),Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RS,PORTO ALEGRE,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-51.17710277777779 -29.99016944444444)),0,1,1,1,2
aeroporto.fid--370298aa_15b3a2610e3_-76ee,8106,Aeroporto Porto Alegre - Reforma e Ampliação do Terminal de Passageiros 1 (1ª Fase),Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RS,PORTO ALEGRE,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-51.1711111111111 -29.9938888888889)),0,1,1,1,2
aeroporto.fid--370298aa_15b3a2610e3_-76ed,8107,Aeroporto Recife - Nova Torre de Controle,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,PE,RECIFE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-34.92075 -8.128966666666667)),0,1,1,14,1
aeroporto.fid--370298aa_15b3a2610e3_-76ec,8109,Aeroporto Galeão - Reforma do TPS 1,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RJ,RIO DE JANEIRO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.2510316565608 -22.81072267958026)),0,1,1,7,2
aeroporto.fid--370298aa_15b3a2610e3_-76eb,8110,Aeroporto Salvador - Reforma e Adequação do Terminal de Passageiros,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,BA,SALVADOR,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.33038087283939 -12.909259804084462)),0,1,1,11,2
aeroporto.fid--370298aa_15b3a2610e3_-76ea,8737,Aeroporto Curitiba - Projeto de Construção da 3ª Pista de Pouso,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,PR,CURITIBA,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-49.1739 -25.5317)),0,1,1,13,4
aeroporto.fid--370298aa_15b3a2610e3_-76e9,90447,Aracati/CE - Implantação de Estação de Serviços de Telecomunicações de Tráfego Aéreo - EPTA,Transportes,Aeroporto,Secretaria de Aviação Civil da Presidência da República,Estado,CE,ARACATI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-37.7682380775181 -4.55864265388626)),0,1,2,18,1
aeroporto.fid--370298aa_15b3a2610e3_-76e8,90448,Aeroporto de Jijoca de Jericoacoara/CE - Implantação de EPTA e vias operacionais- e outros serviços,Transportes,Aeroporto,Secretaria de Aviação Civil da Presidência da República,Estado,CE,JIJOCA DE JERICOACOARA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-40.513108961476696 -2.79368038461272)),0,1,2,18,1
aeroporto.fid--370298aa_15b3a2610e3_-76e7,90449,Aeroporto de Vitória da Conquista/BA - TPS e serviços complementares,Transportes,Aeroporto,Secretaria de Aviação Civil da Presidência da República,Estado,BA,VITÓRIA DA CONQUISTA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-40.8445410112085 -14.861921190009198)),0,1,2,11,1
aeroporto.fid--370298aa_15b3a2610e3_-76e6,90450,Aeroporto Internacional de Salvador - Recapeamento das pistas de Pouso e decolagem e Reforma na área de movimentação de Aeronaves,Transportes,Aeroporto,Secretaria de Aviação Civil da Presidência da República,Infraero,BA,SALVADOR,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-38.511 -12.971)),0,1,2,11,3
aeroporto.fid--370298aa_15b3a2610e3_-76e5,90451,Substituição de Pontes de Embarque do SBEG - Manaus,Transportes,Aeroporto,Secretaria de Aviação Civil da Presidência da República,Infraero,AM,MANAUS,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-60.025 -3.102)),0,1,2,10,4
aeroporto.fid--370298aa_15b3a2610e3_-76e4,90452,Modernização e Reforma do TPS - Santos Dumont,Transportes,Aeroporto,Secretaria de Aviação Civil da Presidência da República,Infraero,RJ,RIO DE JANEIRO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.208 -22.903)),0,1,2,7,2
aeroporto.fid--370298aa_15b3a2610e3_-76e3,8108,Aeroporto Galeão - Reforma do TPS 2,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RJ,RIO DE JANEIRO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.2457649823177 -22.81380715473856)),0,1,1,7,2
infraturistica.fid--370298aa_15b3a2610e3_16f4,55949,Reforma e ampliação do Centro Cultural e de Exposições Ruth Cardoso - Maceió,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Estado,AL,MACEIÓ,--,,Em obras,30 de Junho de 2016,POINT (-35.735 -9.666),0,2,3,19,2
infraturistica.fid--370298aa_15b3a2610e3_16f5,55950,Sinalização turística - Marechal Deodoro,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,AL,MARECHAL DEODORO,--,,Em obras,30 de Junho de 2016,POINT (-35.895 -9.71),0,2,3,19,2
infraturistica.fid--370298aa_15b3a2610e3_16f6,55951,Sinalização turística - Penedo,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-36.586 -10.29),0,2,3,19,1
infraturistica.fid--370298aa_15b3a2610e3_16f7,55952,Conclusão do Centro de Convenções do Amazonas - Santo Antônio do Iça,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Estado,AM,MANAUS,--,,Em obras,30 de Junho de 2016,POINT (-60.025 -3.102),0,2,3,10,2
infraturistica.fid--370298aa_15b3a2610e3_16f8,55953,Sinalização turística - Maragogipe,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,BA,MARAGOJIPE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-38.919 -12.778),0,2,3,11,1
infraturistica.fid--370298aa_15b3a2610e3_16f9,55954,Sinalização turística - Santo Amaro,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,BA,SANTO AMARO,--,,Em obras,30 de Junho de 2016,POINT (-38.712 -12.547),0,2,3,11,2
infraturistica.fid--370298aa_15b3a2610e3_16fa,55956,Sinalização turística - Sobral,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,CE,SOBRAL,--,,Em execução,30 de Junho de 2016,POINT (-40.239 -3.674),0,2,3,18,4
infraturistica.fid--370298aa_15b3a2610e3_16fb,55957,Sinalização turística - Aracati,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,CE,ARACATI,--,,Em obras,30 de Junho de 2016,POINT (-37.77 -4.562),0,2,3,18,2
infraturistica.fid--370298aa_15b3a2610e3_16fc,55958,Construção do Centro de Convenções e Feiras - Pirenópolis,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,GO,PIRENÓPOLIS,--,,Em obras,30 de Junho de 2016,POINT (-48.959 -15.852),0,2,3,5,2
infraturistica.fid--370298aa_15b3a2610e3_16fd,55959,Sinalização turística - Goiás,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,GO,GOIÁS,--,,Em execução,30 de Junho de 2016,POINT (-50.14 -15.934),0,2,3,5,4
infraturistica.fid--370298aa_15b3a2610e3_16fe,55960,Sinalização turística - Goiânia,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,GO,GOIÂNIA,--,,Em obras,30 de Junho de 2016,POINT (-49.254 -16.679),0,2,3,5,2
infraturistica.fid--370298aa_15b3a2610e3_16ff,55961,Sinalização turística - São Luis,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2016,POINT (-44.303 -2.53),0,2,3,8,2
